Date,High
2019-01-02,5245.0
2019-01-03,5220.0
2019-01-04,5205.0
2019-01-07,5325.0
2019-01-08,5320.0
2019-01-09,5320.0
2019-01-10,5300.0
2019-01-11,5300.0
2019-01-14,5235.0
2019-01-15,5260.0
2019-01-16,5285.0
2019-01-17,5330.0
2019-01-18,5425.0
2019-01-21,5600.0
2019-01-22,5620.0
2019-01-23,5600.0
2019-01-24,5485.0
2019-01-25,5520.0
2019-01-28,5515.0
2019-01-29,5550.0
2019-01-30,5560.0
2019-01-31,5640.0
2019-02-01,5750.0
2019-02-04,5635.0
2019-02-06,5540.0
2019-02-07,5535.0
2019-02-08,5535.0
2019-02-11,5530.0
2019-02-12,5530.0
2019-02-13,5490.0
2019-02-14,5405.0
2019-02-15,5410.0
2019-02-18,5500.0
2019-02-19,5480.0
2019-02-20,5595.0
2019-02-21,5560.0
2019-02-22,5525.0
2019-02-25,5500.0
2019-02-26,5555.0
2019-02-27,5570.0
2019-02-28,5580.0
2019-03-01,5600.0
2019-03-04,5540.0
2019-03-05,5505.0
2019-03-06,5555.0
2019-03-08,5570.0
2019-03-11,5530.0
2019-03-12,5540.0
2019-03-13,5505.0
2019-03-14,5495.0
2019-03-15,5545.0
2019-03-18,5560.0
2019-03-19,5545.0
2019-03-20,5555.0
2019-03-21,5520.0
2019-03-22,5500.0
2019-03-25,5500.0
2019-03-26,5510.0
2019-03-27,5510.0
2019-03-28,5485.0
2019-03-29,5530.0
2019-04-01,5550.0
2019-04-02,5570.0
2019-04-04,5560.0
2019-04-05,5560.0
2019-04-08,5540.0
2019-04-09,5550.0
2019-04-10,5555.0
2019-04-11,5560.0
2019-04-12,5510.0
2019-04-15,5570.0
2019-04-16,5505.0
2019-04-18,5805.0
2019-04-22,5680.0
2019-04-23,5710.0
2019-04-24,5640.0
2019-04-25,5620.0
2019-04-26,5645.0
2019-04-29,5695.0
2019-04-30,5760.0
2019-05-02,5810.0
2019-05-03,5750.0
2019-05-06,5660.0
2019-05-07,5710.0
2019-05-08,5700.0
2019-05-09,5700.0
2019-05-10,5680.0
2019-05-13,5695.0
2019-05-14,5630.0
2019-05-15,5555.0
2019-05-16,5480.0
2019-05-17,5310.0
2019-05-20,5390.0
2019-05-21,5495.0
2019-05-22,5530.0
2019-05-23,5605.0
2019-05-24,5630.0
2019-05-27,5700.0
2019-05-28,5770.0
2019-05-29,5895.0
2019-05-31,5870.0
2019-06-10,6190.0
2019-06-11,5960.0
2019-06-12,5900.0
2019-06-13,5885.0
2019-06-14,5845.0
2019-06-17,5840.0
2019-06-18,5900.0
2019-06-19,5960.0
2019-06-20,5940.0
2019-06-21,5935.0
2019-06-24,5900.0
2019-06-25,5960.0
2019-06-26,5940.0
2019-06-27,5935.0
2019-06-28,5995.0
2019-07-01,6025.0
2019-07-02,6000.0
2019-07-03,6000.0
2019-07-04,6010.0
2019-07-05,6020.0
2019-07-08,5960.0
2019-07-09,6000.0
2019-07-10,6040.0
2019-07-11,6025.0
2019-07-12,6030.0
2019-07-15,6115.0
2019-07-16,6105.0
2019-07-17,6150.0
2019-07-18,6170.0
2019-07-19,6210.0
2019-07-22,6290.0
2019-07-23,6290.0
2019-07-24,6265.0
2019-07-25,6275.0
