Date,Low
2019-01-02,5200.0
2019-01-03,5115.0
2019-01-04,5125.0
2019-01-07,5245.0
2019-01-08,5205.0
2019-01-09,5225.0
2019-01-10,5190.0
2019-01-11,5235.0
2019-01-14,5150.0
2019-01-15,5190.0
2019-01-16,5245.0
2019-01-17,5285.0
2019-01-18,5315.0
2019-01-21,5390.0
2019-01-22,5450.0
2019-01-23,5475.0
2019-01-24,5355.0
2019-01-25,5400.0
2019-01-28,5475.0
2019-01-29,5440.0
2019-01-30,5495.0
2019-01-31,5520.0
2019-02-01,5560.0
2019-02-04,5500.0
2019-02-06,5495.0
2019-02-07,5505.0
2019-02-08,5500.0
2019-02-11,5460.0
2019-02-12,5450.0
2019-02-13,5410.0
2019-02-14,5380.0
2019-02-15,5335.0
2019-02-18,5410.0
2019-02-19,5380.0
2019-02-20,5440.0
2019-02-21,5470.0
2019-02-22,5460.0
2019-02-25,5455.0
2019-02-26,5495.0
2019-02-27,5545.0
2019-02-28,5510.0
2019-03-01,5535.0
2019-03-04,5515.0
2019-03-05,5440.0
2019-03-06,5490.0
2019-03-08,5440.0
2019-03-11,5460.0
2019-03-12,5450.0
2019-03-13,5450.0
2019-03-14,5450.0
2019-03-15,5485.0
2019-03-18,5535.0
2019-03-19,5485.0
2019-03-20,5465.0
2019-03-21,5465.0
2019-03-22,5465.0
2019-03-25,5440.0
2019-03-26,5455.0
2019-03-27,5460.0
2019-03-28,5425.0
2019-03-29,5460.0
2019-04-01,5480.0
2019-04-02,5480.0
2019-04-04,5490.0
2019-04-05,5525.0
2019-04-08,5450.0
2019-04-09,5515.0
2019-04-10,5515.0
2019-04-11,5480.0
2019-04-12,5460.0
2019-04-15,5490.0
2019-04-16,5475.0
2019-04-18,5580.0
2019-04-22,5585.0
2019-04-23,5595.0
2019-04-24,5600.0
2019-04-25,5525.0
2019-04-26,5570.0
2019-04-29,5595.0
2019-04-30,5670.0
2019-05-02,5675.0
2019-05-03,5615.0
2019-05-06,5595.0
2019-05-07,5650.0
2019-05-08,5595.0
2019-05-09,5625.0
2019-05-10,5600.0
2019-05-13,5600.0
2019-05-14,5495.0
2019-05-15,5445.0
2019-05-16,5280.0
2019-05-17,5180.0
2019-05-20,5140.0
2019-05-21,5400.0
2019-05-22,5400.0
2019-05-23,5340.0
2019-05-24,5605.0
2019-05-27,5530.0
2019-05-28,5655.0
2019-05-29,5730.0
2019-05-31,5735.0
2019-06-10,5810.0
2019-06-11,5845.0
2019-06-12,5820.0
2019-06-13,5790.0
2019-06-14,5790.0
2019-06-17,5790.0
2019-06-18,5795.0
2019-06-19,5890.0
2019-06-20,5805.0
2019-06-21,5840.0
2019-06-24,5865.0
2019-06-25,5875.0
2019-06-26,5860.0
2019-06-27,5805.0
2019-06-28,5960.0
2019-07-01,5965.0
2019-07-02,5950.0
2019-07-03,5940.0
2019-07-04,5965.0
2019-07-05,5970.0
2019-07-08,5865.0
2019-07-09,5870.0
2019-07-10,5995.0
2019-07-11,5980.0
2019-07-12,5995.0
2019-07-15,6035.0
2019-07-16,6070.0
2019-07-17,6045.0
2019-07-18,6055.0
2019-07-19,6150.0
2019-07-22,6200.0
2019-07-23,6205.0
2019-07-24,6165.0
2019-07-25,6200.0
2019-07-26,6190.0
2019-07-29,6160.0
2019-07-30,6190.0
2019-07-31,6180.0
2019-08-01,6185.0
2019-08-02,6160.0
2019-08-05,6000.0
2019-08-06,5765.0
2019-08-07,5905.0
2019-08-08,5980.0
2019-08-09,6055.0
2019-08-12,6000.0
2019-08-13,6000.0
2019-08-14,5980.0
2019-08-15,5860.0
2019-08-16,5960.0
2019-08-19,5965.0
2019-08-20,5985.0
2019-08-21,5975.0
2019-08-22,5920.0
2019-08-23,5905.0
2019-08-26,5860.0
2019-08-27,5950.0
2019-08-28,5985.0
2019-08-29,5985.0
2019-08-30,6005.0
2019-09-02,6000.0
2019-09-03,6000.0
2019-09-04,6005.0
2019-09-05,6015.0
2019-09-06,6025.0
2019-09-09,5980.0
2019-09-10,5985.0
2019-09-11,6010.0
2019-09-12,6010.0
2019-09-13,6010.0
2019-09-16,5985.0
2019-09-17,5985.0
2019-09-18,5990.0
2019-09-19,6000.0
2019-09-20,5990.0
2019-09-23,6000.0
2019-09-24,5940.0
2019-09-25,5780.0
2019-09-26,5970.0
2019-09-27,6000.0
2019-09-30,6005.0
2019-10-01,6010.0
2019-10-02,6010.0
2019-10-03,5950.0
2019-10-04,5980.0
2019-10-07,6050.0
2019-10-08,6015.0
2019-10-09,6050.0
2019-10-10,6020.0
2019-10-11,6080.0
2019-10-14,6130.0
2019-10-15,6145.0
2019-10-16,6175.0
2019-10-17,6105.0
2019-10-18,6140.0
2019-10-21,6185.0
2019-10-22,6225.0
2019-10-23,6260.0
2019-10-24,6270.0
2019-10-25,6175.0
2019-10-28,6200.0
2019-10-29,6150.0
2019-10-30,6200.0
2019-10-31,6250.0
2019-11-01,6275.0
2019-11-04,6260.0
2019-11-05,6270.0
2019-11-06,6295.0
2019-11-07,6250.0
2019-11-08,6250.0
2019-11-11,6265.0
2019-11-12,6220.0
2019-11-13,6265.0
2019-11-14,6210.0
2019-11-15,6255.0
2019-11-18,6210.0
2019-11-19,6300.0
2019-11-20,6255.0
2019-11-21,6300.0
2019-11-22,6270.0
2019-11-25,6275.0
2019-11-26,6270.0
2019-11-27,6240.0
2019-11-28,6245.0
2019-11-29,6225.0
