Date,Volume
2019-01-02,35956000
2019-01-03,72358000
2019-01-04,51465000
2019-01-07,73438000
2019-01-08,66247500
2019-01-09,84871000
2019-01-10,114314500
2019-01-11,84826500
2019-01-14,87547500
2019-01-15,87763000
2019-01-16,94972500
2019-01-17,91654000
2019-01-18,100873500
2019-01-21,87118000
2019-01-22,91907000
2019-01-23,98512500
2019-01-24,106781000
2019-01-25,68944000
2019-01-28,69704000
2019-01-29,77679000
2019-01-30,76285000
2019-01-31,135904500
2019-02-01,57719500
2019-02-04,113846500
2019-02-06,121996500
2019-02-07,63697500
2019-02-08,65268500
2019-02-11,37639000
2019-02-12,95883500
2019-02-13,103115500
2019-02-14,108738500
2019-02-15,81340000
2019-02-18,62991000
2019-02-19,64469000
2019-02-20,89583000
2019-02-21,54561500
2019-02-22,48271500
2019-02-25,47887000
2019-02-26,98446000
2019-02-27,78519500
2019-02-28,99366000
2019-03-01,72589500
2019-03-04,63910500
2019-03-05,46499500
2019-03-06,37777000
2019-03-08,61126000
2019-03-11,32469000
2019-03-12,40178500
2019-03-13,17722000
2019-03-14,41096000
2019-03-15,41759500
2019-03-18,42791000
2019-03-19,51527000
2019-03-20,42388500
2019-03-21,39866000
2019-03-22,29601000
2019-03-25,23054500
2019-03-26,19895500
2019-03-27,17804500
2019-03-28,32187500
2019-03-29,36234000
2019-04-01,21786000
2019-04-02,36853000
2019-04-04,48112000
2019-04-05,21913500
2019-04-08,39910000
2019-04-09,29447000
2019-04-10,19508500
2019-04-11,25356000
2019-04-12,18577000
2019-04-15,68152000
2019-04-16,71017000
2019-04-18,129332500
2019-04-22,62837500
2019-04-23,48654000
2019-04-24,46975000
2019-04-25,61482500
2019-04-26,66204500
2019-04-29,65480500
2019-04-30,107607500
2019-05-02,80879500
2019-05-03,58244500
2019-05-06,36649500
2019-05-07,59177000
2019-05-08,59062000
2019-05-09,126636500
2019-05-10,76130500
2019-05-13,63720500
2019-05-14,114800500
2019-05-15,72065000
2019-05-16,87939000
2019-05-17,74207000
2019-05-20,54764500
