Date,Low
2019-01-01,3687.5
2019-01-02,3625.0
2019-01-03,3550.0
2019-01-04,3575.0
2019-01-07,3712.5
2019-01-08,3675.0
2019-01-09,3700.0
2019-01-10,3775.0
2019-01-11,3837.5
2019-01-14,3825.0
2019-01-15,3825.0
2019-01-16,3837.5
2019-01-17,3900.0
2019-01-18,3912.5
2019-01-21,3900.0
2019-01-22,3825.0
2019-01-23,3737.5
2019-01-24,3712.5
2019-01-25,3650.0
2019-01-28,3537.5
2019-01-29,3525.0
2019-01-30,3562.5
2019-01-31,3637.5
2019-02-01,3737.5
2019-02-04,3675.0
2019-02-05,3675.0
2019-02-06,3712.5
2019-02-07,3712.5
2019-02-08,3712.5
2019-02-11,3762.5
2019-02-12,3687.5
2019-02-13,3625.0
2019-02-14,3587.5
2019-02-15,3550.0
2019-02-18,3587.5
2019-02-19,3562.5
2019-02-20,3475.0
2019-02-21,3550.0
2019-02-22,3525.0
2019-02-25,3562.5
2019-02-26,3575.0
2019-02-27,3575.0
2019-02-28,3550.0
2019-03-01,3562.5
2019-03-04,3550.0
2019-03-05,3400.0
2019-03-06,3437.5
2019-03-07,3537.5
2019-03-08,3450.0
2019-03-11,3412.5
2019-03-12,3337.5
2019-03-13,3325.0
2019-03-14,3362.5
2019-03-15,3462.5
2019-03-18,3512.5
2019-03-19,3575.0
2019-03-20,3650.0
2019-03-21,3725.0
2019-03-22,3712.5
2019-03-25,3587.5
2019-03-26,3637.5
2019-03-27,3612.5
2019-03-28,3625.0
2019-03-29,3662.5
2019-04-01,3725.0
2019-04-02,3662.5
2019-04-03,3712.5
2019-04-04,3750.0
2019-04-05,3775.0
2019-04-08,3687.5
2019-04-09,3775.0
2019-04-10,3762.5
2019-04-11,3700.0
2019-04-12,3650.0
2019-04-15,3662.5
2019-04-16,3675.0
2019-04-17,3812.5
2019-04-18,3887.5
2019-04-19,3900.0
2019-04-22,3825.0
2019-04-23,3837.5
2019-04-24,3812.5
2019-04-25,3775.0
2019-04-26,3737.5
2019-04-29,3837.5
2019-04-30,3862.5
2019-05-01,3862.5
2019-05-02,3812.5
2019-05-03,3787.5
2019-05-06,3662.5
2019-05-07,3775.0
2019-05-08,3725.0
2019-05-09,3725.0
2019-05-10,3687.5
2019-05-13,3750.0
2019-05-14,3700.0
2019-05-15,3712.5
2019-05-16,3625.0
2019-05-17,3537.5
2019-05-20,3487.5
2019-05-21,3537.5
2019-05-22,3612.5
2019-05-23,3662.5
2019-05-24,3787.5
2019-05-27,3762.5
2019-05-28,3675.0
2019-05-29,3700.0
2019-05-30,3775.0
2019-05-31,3775.0
2019-06-03,3837.5
2019-06-04,3837.5
2019-06-05,3837.5
2019-06-06,3837.5
2019-06-07,3837.5
2019-06-10,3912.5
2019-06-11,3900.0
2019-06-12,3900.0
2019-06-13,3850.0
2019-06-14,3900.0
2019-06-17,3900.0
2019-06-18,3887.5
2019-06-19,3937.5
2019-06-20,3962.5
2019-06-21,3950.0
2019-06-24,3950.0
2019-06-25,3962.5
2019-06-26,3925.0
2019-06-27,3987.5
2019-06-28,3987.5
2019-07-01,3987.5
2019-07-02,3987.5
2019-07-03,3975.0
2019-07-04,4000.0
2019-07-05,3862.5
2019-07-08,3862.5
2019-07-09,3900.0
2019-07-10,3962.5
2019-07-11,3987.5
